BackpackWeight,BodyWeight,Ratio,BackProblems,Major,Year,Sex,Status,Units
9,125,0.072,1,Bio,3,Female,U,13
8,180,0.0444444,0,EE,2,Female,U,14
8,170,0.0470588,0,CM,3,Male,U,15
8,135,0.0592593,0,Bus,3,Female,U,15
12,125,0.096,1,CS,3,Female,U,12
6,105,0.0571429,0,LS,3,Female,U,16
10,125,0.08,1,LS,3,Female,U,17
5,165,0.030303,0,Bio,3,Male,U,14
20,170,0.117647,0,CSC,2,Male,U,16
14,117,0.119658,1,EE,2,Female,U,12
10,270,0.037037,0,AGB,3,Male,U,12
18,160,0.1125,1,Mate,1,Male,U,13
5,140,0.0357143,0,Poli Sci,2,Female,U,16
25,190,0.131579,0,Aero Eng.,2,Male,U,14
6,165,0.0363636,1,Soc. Sci.,1,Female,U,15
10,145,0.0689655,1,GRC,1,Female,U,14
15,120,0.125,1,MLL,3,Female,U,16
14,140,0.1,0,ARCE,2,Female,U,15
4,155,0.0258065,0,IT,3,Male,U,16
8,143,0.0559441,0,Psy,2,Female,U,17
13,135,0.0962963,1,SOCS,3,Female,U,16
10,130,0.0769231,0,Nut.,3,Female,U,16
10,140,0.0714286,0,LS,1,Female,U,14
5,115,0.0434783,0,Soc. Sci.,1,Female,U,13
6,128,0.046875,0,Bus,1,Female,U,14
5,150,0.0333333,0,SPC,2,Female,U,14
13,220,0.0590909,0,CE,2,Male,U,13
10,150,0.0666667,0,CD,3,Female,U,16
8,155,0.0516129,0,Econ,2,Male,U,12
16,190,0.0842105,0,Bus,2,Male,U,14
17,144,0.118056,1,Bio,2,Female,U,13
10,130,0.0769231,0,Kine,2,Female,U,15
9,140,0.0642857,0,Kine,3,Female,U,16
13,125,0.104,0,Math,2,Female,U,17
10,175,0.0571429,0,Act.,2,Male,U,19
8,140,0.0571429,1,Poli Sci,3,Female,U,12
12,220,0.0545455,0,EE,1,Male,U,14
14,150,0.0933333,0,Kine,3,Female,U,16
5,125,0.04,1,ARCE,2,Female,U,16
20,180,0.111111,1,CPE,1,Male,U,13
14,150,0.0933333,0,Aero,2,Male,U,14
14,125,0.112,0,Pols,2,Female,U,17
8,160,0.05,0,ME,2,Male,U,13
25,144,0.173611,0,LS,3,Female,U,17
15,130,0.115385,1,Bus,3,Female,U,16
24,145,0.165517,1,Bus,3,Female,U,16
5,115,0.0434783,1,ME,3,Female,U,14
10,110,0.0909091,0,CE,2,Female,U,16
9,128,0.0703125,0,Aero,1,Female,U,16
20,170,0.117647,1,Bus,3,Male,U,18
16,175,0.0914286,0,Bio,3,Male,U,12
18,160,0.1125,1,MFGE,3,Male,U,13
11,168,0.0654762,1,Bus,3,Male,U,16
15,210,0.0714286,0,Arch,3,Male,U,17
14,165,0.0848485,0,ME,3,Male,U,11
6,195,0.0307692,0,APIO,1,Male,U,16
11,130,0.0846154,0,Bus,1,Male,U,12
9,140,0.0642857,0,AERO,3,Male,U,12
